surface,reading
EOS,EOS
ない,ない
ます,ます
こと,こと
です,です
いる,いる
する,する
から,から
ある,ある
よう,よう
まし,まし
人,ひと
この,この
という,という
その,その
的,まと
年,ねん
いう,いう
私,わたくし
あり,あり
もの,もの
なっ,なっ
それ,それ
者,もの
これ,これ
なる,なる
月,つき
として,として
さん,さん
まで,まで
など,など
ませ,ませ
中,なか
なく,なく
れる,れる
ため,ため
そう,そう
たい,たい
日本,にっぽん
だけ,だけ
一,いち
あっ,あっ
ので,ので
何,なん
思い,おもい
なら,なら
だっ,だっ
自分,じぶん
について,について
方,ほう
なり,なり
問題,もんだい
でき,でき
いい,いい
たら,たら
また,また
られ,られ
より,より
今,いま
でも,でも
だろ,だろ
考え,かんがえ
わけ,わけ
おり,おり
でしょ,でしょ
ござい,ござい
たち,たち
ところ,ところ
できる,できる
なかっ,なかっ
思う,おもう
って,って
前,まえ
第,だい
たり,たり
性,せい
思っ,おもっ
そして,そして
けど,けど
どう,どう
時間,じかん
会,かい
円,えん
場合,ばあい
必要,ひつよう
でし,でし
情報,じょうほう
しかし,しかし
とき,とき
コメント,こめんと
化,ばけ
上,うえ
事,こと
話,はなし
ながら,ながら
本,ほん
じゃ,じゃ
ここ,ここ
分,ぶん
十,じゅう
感じ,かんじ
いく,いく
てる,てる
言っ,いっ
今日,きょう
いっ,いっ
関係,かんけい
委員,いいん
後,あと
かも,かも
家,いえ
そういう,そういう
世界,せかい
点,てん
万,まん
もう,もう
やっ,やっ
バック,ばっく
社会,しゃかい
言う,ゆう
なけれ,なけれ
トラック,とらっく
によって,によって
仕事,しごと
同じ,おなじ
数,すう
記事,きじ
行っ,いっ
彼,かれ
大,おお
国,くに
べき,べき
られる,られる
等,とう
とか,とか
回,かい
三,さん
君,きみ
法,ほう
意味,いみ
よく,よく
力,ちから
以上,いじょう
しまう,しまう
会社,かいしゃ
しまっ,しまっ
くる,くる
持っ,もっ
くれ,くれ
ほど,ほど
そんな,そんな
人間,にんげん
多く,おおく
現在,げんざい
なん,なん
企業,きぎょう
ください,ください
ちょっと,ちょっと
可能,かのう
研究,けんきゅう
投稿,とうこう
他,ほか
アメリカ,あめりか
しれ,しれ
けれども,けれども
リンク,りんく
今回,こんかい
次,つぎ
いたし,いたし
言葉,ことば
こういう,こういう
書い,かい
僕,ぼく
しか,しか
多い,おおい
経済,けいざい
あなた,あなた
そこ,そこ
あれ,あれ
による,による
最近,さいきん
結果,けっか
％,ぱーせんと
くらい,くらい
映画,えいが
先生,せんせい
生活,せいかつ
金,きん
言わ,いわ
時代,じだい
政府,せいふ
非常,ひじょう
店,みせ
良い,よい
まだ,まだ
において,において
内容,ないよう
一つ,ひとつ
心,こころ
見る,みる
説明,せつめい
せる,せる
写真,しゃしん
ただ,ただ
サイト,さいと
教育,きょういく
女性,じょせい
子供,こども
方法,ほうほう
に対して,にたいして
あるいは,あるいは
利用,りよう
さらに,さらに
ブログ,ぶろぐ
少し,すこし
紹介,しょうかい
技術,ぎじゅつ
いろいろ,いろいろ
なんて,なんて
名前,なまえ
参加,さんか
入っ,はいっ
大きな,おおきな
うち,うち
やはり,やはり
受け,うけ
どの,どの
好き,すき
にとって,にとって
活動,かつどう
東京,とうきょう
どこ,どこ
かなり,かなり
こんな,こんな
状況,じょうきょう
に対する,にたいする
管理,かんり
特に,とくに
環境,かんきょう
ページ,ぺーじ
のに,のに
地域,ちいき
本当に,ほんとうに
いただき,いただき
使っ,つかっ
実際,じっさい
中国,ちゅうごく
先,さき
聞い,きい
誰,だれ
個人,こじん
意見,いけん
状態,じょうたい
歳,とし
大学,だいがく
物,もの
存在,そんざい
最後,さいご
しまい,しまい
笑,わらい
システム,しすてむ
すべて,すべて
彼女,かのじょ
理解,りかい
学校,がっこう
部分,ぶぶん
すれ,すれ
とても,とても
得,とく
電話,でんわ
考える,かんがえる
用,よう
行く,いく
県,けん
